"hotel","arrival_date_month","arrival_date_year","num_booking","num_cancel","distribution_channel","customer_type"
"City Hotel","March",2017,"3","0","TA/TO","Transient"
"City Hotel","June",2017,"24","3","Direct","Transient"
"Resort Hotel","October",2015,"12","1","Direct","Contract"
"City Hotel","April",2016,"171","31","Direct","Transient"
"City Hotel","August",2015,"1","0","Direct","Transient-Party"
"City Hotel","July",2017,"6","0","TA/TO","Group"
"Resort Hotel","September",2016,"1","0","Corporate","Group"
"City Hotel","August",2017,"29","2","Direct","Transient-Party"
"City Hotel","April",2016,"4","0","TA/TO","Group"
"Resort Hotel","April",2016,"507","155","TA/TO","Transient"
"City Hotel","April",2017,"1","0","Direct","Transient"
"Resort Hotel","September",2016,"186","49","TA/TO","Transient"
"Resort Hotel","January",2016,"19","5","Corporate","Transient-Party"
"Resort Hotel","February",2017,"141","20","TA/TO","Transient"
"City Hotel","August",2016,"14","3","Corporate","Transient-Party"
"Resort Hotel","December",2016,"19","1","Direct","Transient"
"Resort Hotel","May",2017,"82","14","TA/TO","Transient-Party"
"City Hotel","May",2016,"13","2","Direct","Transient"
"Resort Hotel","February",2017,"1","0","Direct","Transient-Party"
"Resort Hotel","October",2015,"78","3","TA/TO","Contract"
"Resort Hotel","May",2016,"1","0","Direct","Transient"
"City Hotel","December",2016,"243","101","TA/TO","Transient"
"Resort Hotel","February",2016,"436","101","TA/TO","Transient"
"City Hotel","November",2016,"5","5","TA/TO","Group"
"Resort Hotel","March",2017,"4","1","Direct","Transient-Party"
"City Hotel","September",2015,"3","0","Corporate","Transient"
"Resort Hotel","September",2015,"18","0","Direct","Transient-Party"
"City Hotel","February",2017,"12","6","Direct","Transient-Party"
"Resort Hotel","December",2016,"9","0","TA/TO","Transient"
"City Hotel","May",2017,"3","0","Direct","Group"
"City Hotel","August",2017,"1","1","Corporate","Transient"
"Resort Hotel","March",2016,"2","0","Direct","Group"
"Resort Hotel","February",2017,"102","30","Corporate","Transient-Party"
"City Hotel","June",2017,"3","0","Direct","Transient-Party"
"City Hotel","March",2016,"40","0","Direct","Transient-Party"
"City Hotel","December",2015,"3","1","Direct","Group"
"Resort Hotel","August",2017,"12","2","Corporate","Transient"
"Resort Hotel","July",2016,"5","0","TA/TO","Transient"
"City Hotel","May",2016,"2","0","Direct","Transient"
"Resort Hotel","August",2015,"28","4","Direct","Transient-Party"
"Resort Hotel","July",2016,"734","333","TA/TO","Transient"
"City Hotel","May",2017,"3","0","TA/TO","Contract"
"City Hotel","February",2016,"1","0","TA/TO","Transient"
"City Hotel","November",2015,"1","0","Direct","Group"
"Resort Hotel","August",2017,"27","2","Direct","Transient-Party"
"City Hotel","December",2016,"24","6","TA/TO","Transient-Party"
"Resort Hotel","October",2016,"209","27","Direct","Transient"
"City Hotel","December",2016,"2","1","Direct","Transient-Party"
"City Hotel","September",2016,"16","7","Corporate","Transient"
"City Hotel","August",2016,"2","0","Corporate","Transient"
"Resort Hotel","December",2015,"51","1","Corporate","Transient"
"City Hotel","April",2016,"11","1","Direct","Transient"
"City Hotel","February",2017,"1","0","Direct","Transient"
"City Hotel","November",2015,"2","0","TA/TO","Group"
"City Hotel","August",2016,"1","0","TA/TO","Transient"
"Resort Hotel","July",2017,"93","6","TA/TO","Transient-Party"
"City Hotel","October",2015,"340","191","TA/TO","Transient"
"City Hotel","September",2015,"3","0","TA/TO","Transient"
"City Hotel","September",2016,"3","0","Corporate","Transient"
"Resort Hotel","May",2017,"171","28","Direct","Transient"
"City Hotel","July",2016,"47","12","Direct","Transient-Party"
"Resort Hotel","July",2016,"73","6","TA/TO","Contract"
"Resort Hotel","April",2016,"33","0","TA/TO","Transient-Party"
"Resort Hotel","June",2016,"218","16","TA/TO","Transient"
"Resort Hotel","March",2016,"44","40","Direct","Transient"
"City Hotel","October",2015,"7","0","Direct","Group"
"Resort Hotel","November",2015,"231","58","Corporate","Transient-Party"
"City Hotel","May",2017,"31","3","Direct","Transient-Party"
"Resort Hotel","June",2016,"2","0","Corporate","Transient"
"City Hotel","July",2015,"649","414","TA/TO","Transient-Party"
"City Hotel","January",2017,"8","0","TA/TO","Group"
"City Hotel","August",2015,"37","4","Corporate","Transient-Party"
"City Hotel","May",2017,"2","0","Direct","Transient"
"Resort Hotel","February",2016,"6","0","Direct","Transient"
"Resort Hotel","August",2016,"49","11","TA/TO","Transient-Party"
"Resort Hotel","November",2016,"3","0","TA/TO","Contract"
"Resort Hotel","February",2016,"1","0","Direct","Transient"
"Resort Hotel","November",2016,"11","4","Corporate","Transient-Party"
"Resort Hotel","March",2017,"3","0","Corporate","Transient-Party"
"Resort Hotel","November",2016,"1","0","Corporate","Transient"
"City Hotel","April",2016,"527","406","TA/TO","Transient"
"Resort Hotel","September",2015,"236","93","TA/TO","Transient"
"Resort Hotel","January",2017,"1","0","TA/TO","Group"
"City Hotel","March",2016,"2","1","TA/TO","Transient"
"City Hotel","January",2017,"178","22","Direct","Transient"
"Resort Hotel","June",2016,"26","7","TA/TO","Transient-Party"
"City Hotel","February",2017,"1","0","TA/TO","Group"
"Resort Hotel","April",2017,"100","6","TA/TO","Transient-Party"
"Resort Hotel","August",2015,"4","0","TA/TO","Group"
"Resort Hotel","January",2016,"4","1","Direct","Transient-Party"
"City Hotel","June",2017,"104","2","TA/TO","Transient-Party"
"Resort Hotel","March",2017,"34","5","Corporate","Transient-Party"
"Resort Hotel","December",2016,"3","0","Corporate","Transient-Party"
"City Hotel","February",2016,"4","0","GDS","Transient"
"City Hotel","September",2016,"515","92","TA/TO","Transient-Party"
"City Hotel","July",2016,"220","27","Direct","Transient"
"Resort Hotel","April",2017,"74","15","TA/TO","Transient"
"City Hotel","April",2017,"1","0","TA/TO","Transient"
"Resort Hotel","December",2015,"7","1","TA/TO","Contract"
"City Hotel","May",2017,"1","1","Direct","Transient-Party"
"Resort Hotel","April",2017,"2","0","Corporate","Group"
"City Hotel","December",2016,"4","4","Corporate","Transient-Party"
"Resort Hotel","April",2017,"1","0","TA/TO","Transient"
"City Hotel","March",2017,"10","3","TA/TO","Transient-Party"
"City Hotel","September",2015,"6","0","Direct","Group"
"City Hotel","July",2016,"1","0","Direct","Transient"
"Resort Hotel","October",2016,"2","0","TA/TO","Group"
"City Hotel","May",2016,"4","2","Corporate","Transient"
"Resort Hotel","October",2015,"2","1","TA/TO","Group"
"City Hotel","May",2017,"147","19","TA/TO","Transient-Party"
"City Hotel","June",2017,"36","35","TA/TO","Transient"
"City Hotel","September",2015,"335","59","TA/TO","Transient"
"Resort Hotel","February",2016,"64","26","Direct","Transient-Party"
"Resort Hotel","September",2015,"134","54","TA/TO","Transient-Party"
"Resort Hotel","May",2017,"1","0","TA/TO","Group"
"City Hotel","July",2017,"12","0","Direct","Transient"
"City Hotel","November",2016,"1","0","Direct","Transient-Party"
"City Hotel","January",2016,"3","0","TA/TO","Contract"
"Resort Hotel","July",2017,"1","0","TA/TO","Group"
"Resort Hotel","September",2016,"5","0","TA/TO","Transient"
"Resort Hotel","May",2017,"18","1","TA/TO","Transient"
"City Hotel","August",2016,"1","0","TA/TO","Group"
"Resort Hotel","November",2015,"130","6","Direct","Transient"
"City Hotel","April",2017,"185","41","TA/TO","Transient-Party"
"City Hotel","January",2016,"480","139","TA/TO","Transient"
"City Hotel","December",2015,"19","9","Direct","Transient-Party"
"Resort Hotel","May",2017,"2","0","TA/TO","Transient"
"City Hotel","March",2016,"8","0","Corporate","Transient-Party"
"Resort Hotel","August",2017,"31","5","TA/TO","Transient-Party"
"Resort Hotel","March",2017,"14","0","Direct","Transient-Party"
"City Hotel","March",2016,"85","10","TA/TO","Transient-Party"
"City Hotel","March",2016,"261","248","TA/TO","Transient"
"City Hotel","December",2015,"131","20","TA/TO","Transient-Party"
"City Hotel","August",2016,"2","0","Direct","Group"
"Resort Hotel","March",2016,"102","18","TA/TO","Transient-Party"
"City Hotel","June",2017,"3","0","Direct","Group"
"City Hotel","June",2016,"8","1","GDS","Transient"
"City Hotel","October",2015,"21","3","Direct","Transient-Party"
"City Hotel","January",2016,"127","22","Direct","Transient"
"City Hotel","April",2017,"456","456","TA/TO","Transient"
"Resort Hotel","June",2017,"147","30","TA/TO","Contract"
"City Hotel","September",2015,"38","11","TA/TO","Transient-Party"
"City Hotel","August",2016,"46","17","Direct","Transient-Party"
"City Hotel","June",2016,"5","1","Direct","Transient-Party"
"Resort Hotel","October",2016,"643","291","TA/TO","Transient"
"City Hotel","January",2016,"151","48","TA/TO","Transient"
"Resort Hotel","October",2016,"81","10","Direct","Transient-Party"
"Resort Hotel","March",2017,"2","0","TA/TO","Transient"
"Resort Hotel","March",2016,"1","0","TA/TO","Group"
"City Hotel","February",2016,"1","0","Direct","Transient"
"Resort Hotel","August",2017,"24","5","TA/TO","Group"
"Resort Hotel","February",2016,"1","0","Direct","Group"
"Resort Hotel","June",2017,"8","1","Direct","Transient"
"Resort Hotel","January",2016,"19","2","TA/TO","Transient-Party"
"Resort Hotel","February",2016,"4","0","TA/TO","Transient"
"Resort Hotel","May",2017,"1","0","Direct","Transient-Party"
"City Hotel","April",2016,"21","14","TA/TO","Contract"
"City Hotel","January",2017,"3","0","Direct","Transient"
"Resort Hotel","March",2017,"1","0","Direct","Transient-Party"
"City Hotel","November",2015,"338","71","TA/TO","Transient-Party"
"Resort Hotel","December",2016,"1","0","TA/TO","Contract"
"Resort Hotel","September",2015,"9","1","Corporate","Transient"
"Resort Hotel","March",2017,"3","0","TA/TO","Group"
"City Hotel","April",2017,"16","4","Corporate","Transient"
"Resort Hotel","May",2017,"6","2","Direct","Transient"
"City Hotel","May",2017,"25","24","Corporate","Transient"
"Resort Hotel","June",2017,"12","2","Direct","Transient-Party"
"City Hotel","August",2016,"9","9","Corporate","Transient"
"Resort Hotel","February",2017,"1","0","TA/TO","Transient"
"Resort Hotel","August",2015,"692","232","TA/TO","Transient"
"City Hotel","April",2016,"325","69","TA/TO","Transient-Party"
"City Hotel","October",2016,"28","3","Corporate","Transient"
"Resort Hotel","June",2017,"7","0","Corporate","Transient-Party"
"Resort Hotel","October",2015,"1","0","Direct","Group"
"City Hotel","February",2017,"6","0","TA/TO","Transient-Party"
"Resort Hotel","April",2016,"25","5","Corporate","Transient-Party"
"Resort Hotel","April",2016,"67","62","Direct","Transient"
"City Hotel","June",2016,"777","623","TA/TO","Transient"
"Resort Hotel","January",2016,"25","25","Direct","Transient"
"Resort Hotel","December",2016,"2","0","Corporate","Transient"
"Resort Hotel","January",2017,"119","17","Direct","Transient-Party"
"City Hotel","April",2017,"50","0","TA/TO","Transient-Party"
"City Hotel","February",2017,"226","225","TA/TO","Transient"
"City Hotel","May",2016,"384","76","TA/TO","Transient-Party"
"Resort Hotel","May",2017,"2","0","Direct","Group"
"City Hotel","September",2016,"4","4","Direct","Transient-Party"
"Resort Hotel","September",2016,"572","240","TA/TO","Transient"
"Resort Hotel","January",2017,"31","0","Direct","Transient-Party"
"City Hotel","September",2016,"1","0","TA/TO","Transient"
"Resort Hotel","March",2016,"73","8","Corporate","Transient"
"City Hotel","January",2017,"122","49","TA/TO","Transient"
"City Hotel","May",2017,"269","55","Direct","Transient"
"Resort Hotel","August",2015,"284","56","Direct","Transient"
"City Hotel","April",2016,"2","0","TA/TO","Group"
"Resort Hotel","September",2015,"5","0","Direct","Transient"
"City Hotel","December",2016,"1559","749","TA/TO","Transient"
"City Hotel","August",2015,"222","21","Direct","Transient"
"City Hotel","October",2016,"7","1","Corporate","Transient"
"Resort Hotel","March",2017,"50","44","TA/TO","Transient"
"Resort Hotel","August",2016,"169","35","TA/TO","Transient"
"Resort Hotel","March",2016,"5","1","Corporate","Transient"
"City Hotel","August",2017,"5","0","Direct","Transient"
"City Hotel","October",2016,"25","6","Corporate","Transient-Party"
"Resort Hotel","April",2017,"9","0","TA/TO","Transient"
"Resort Hotel","July",2017,"311","85","Direct","Transient"
"City Hotel","June",2017,"19","1","GDS","Transient"
"City Hotel","April",2017,"4","2","TA/TO","Contract"
"City Hotel","May",2017,"4","0","TA/TO","Group"
"City Hotel","August",2016,"1","0","GDS","Transient"
"City Hotel","October",2015,"28","5","TA/TO","Group"
"City Hotel","May",2017,"241","99","TA/TO","Transient-Party"
"Resort Hotel","February",2017,"45","1","Direct","Transient-Party"
"Resort Hotel","May",2016,"10","0","Corporate","Transient-Party"
"Resort Hotel","August",2015,"210","37","TA/TO","Transient"
"Resort Hotel","February",2017,"2","1","TA/TO","Transient-Party"
"Resort Hotel","March",2016,"6","1","Direct","Transient"
"City Hotel","October",2016,"1","0","GDS","Transient"
"City Hotel","May",2017,"77","0","TA/TO","Transient-Party"
"City Hotel","April",2016,"1","0","GDS","Transient"
"Resort Hotel","May",2017,"229","48","TA/TO","Transient"
"City Hotel","August",2017,"3","1","Corporate","Transient"
"City Hotel","August",2015,"2","1","Corporate","Group"
"City Hotel","May",2016,"266","56","TA/TO","Transient-Party"
"Resort Hotel","April",2017,"30","0","TA/TO","Contract"
"City Hotel","July",2017,"117","12","TA/TO","Transient-Party"
"City Hotel","June",2016,"2","1","Direct","Transient"
"City Hotel","January",2017,"2","0","TA/TO","Group"
"City Hotel","May",2017,"5","3","Corporate","Transient-Party"
"City Hotel","September",2016,"206","43","Direct","Transient"
"City Hotel","December",2015,"27","1","Direct","Transient"
"Resort Hotel","September",2016,"39","4","TA/TO","Transient-Party"
"City Hotel","March",2017,"55","55","Direct","Transient"
"Resort Hotel","December",2015,"7","0","Corporate","Transient-Party"
"Resort Hotel","May",2017,"1","0","Corporate","Transient"
"Resort Hotel","October",2016,"8","0","Corporate","Transient"
"City Hotel","February",2017,"219","58","TA/TO","Transient"
"City Hotel","February",2017,"2","0","TA/TO","Transient"
"City Hotel","December",2015,"2","0","TA/TO","Group"
"City Hotel","August",2017,"1","0","TA/TO","Transient"
"City Hotel","November",2016,"1","0","TA/TO","Transient"
"Resort Hotel","February",2017,"1","0","Direct","Transient-Party"
"Resort Hotel","September",2015,"14","0","Corporate","Transient-Party"
"City Hotel","February",2017,"2","1","TA/TO","Group"
"City Hotel","October",2015,"12","2","TA/TO","Contract"
"Resort Hotel","January",2016,"6","0","TA/TO","Transient-Party"
"City Hotel","January",2017,"1","0","TA/TO","Group"
"City Hotel","February",2017,"1447","556","TA/TO","Transient"
"Resort Hotel","January",2017,"17","3","Corporate","Transient-Party"
"Resort Hotel","December",2016,"1","0","Direct","Transient-Party"
"City Hotel","February",2017,"1","0","TA/TO","Transient"
"City Hotel","August",2015,"16","2","Direct","Transient-Party"
"Resort Hotel","July",2015,"33","1","TA/TO","Transient-Party"
"Resort Hotel","August",2016,"32","1","Direct","Transient-Party"
"Resort Hotel","May",2017,"8","1","TA/TO","Group"
"Resort Hotel","November",2015,"18","0","Corporate","Transient-Party"
"City Hotel","July",2016,"212","18","TA/TO","Transient-Party"
"City Hotel","July",2016,"2","0","Corporate","Transient"
"City Hotel","September",2016,"2","0","TA/TO","Transient"
"Resort Hotel","July",2016,"1","0","Direct","Transient"
"City Hotel","June",2017,"2","0","TA/TO","Group"
"Resort Hotel","November",2015,"2","0","TA/TO","Transient"
"Resort Hotel","December",2015,"418","129","TA/TO","Transient"
"City Hotel","November",2016,"1","0","Direct","Transient"
"Resort Hotel","April",2017,"725","348","TA/TO","Transient"
"Resort Hotel","June",2016,"1","0","TA/TO","Group"
"City Hotel","February",2016,"1","0","TA/TO","Transient"
"Resort Hotel","October",2016,"13","2","Direct","Transient"
"City Hotel","August",2016,"34","3","Corporate","Transient"
"City Hotel","April",2017,"21","2","Direct","Transient-Party"
"City Hotel","November",2015,"113","15","TA/TO","Transient-Party"
